Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
DOCU,132.39,Call,140.00,07/17/20,56,9.10,9.25,9.40,9.60,646,208,3.11,60.55%,"12:50 ET"
TIF,125.4,Put,120.00,01/15/21,238,6.65,7.83,9.00,7.50,6853,2204,3.11,26.54%,"13:28 ET"
IQ,15.35,Put,16.50,05/22/20,0,1.08,1.18,1.28,1.07,4090,1321,3.1,0.00%,"12:46 ET"
SKX,29.08,Call,30.00,06/19/20,28,1.15,1.23,1.30,1.20,704,228,3.09,48.69%,"11:07 ET"
GILD,72.95,Call,73.00,06/19/20,28,3.05,3.1,3.15,3.10,1262,409,3.09,37.79%,"12:36 ET"
C,44.17,Call,43.00,05/29/20,7,1.75,1.77,1.79,1.77,857,279,3.07,47.20%,"13:29 ET"
AG,9.46,Call,9.50,05/29/20,7,0.25,0.3,0.35,0.31,1209,394,3.07,61.77%,"13:22 ET"
ATRA,15.76,Call,20.00,06/19/20,28,0.85,1.03,1.20,1.10,833,272,3.06,143.37%,"13:11 ET"
ZM,172.93,Put,172.50,05/22/20,0,0.75,0.8,0.85,0.80,1679,548,3.06,0.00%,"13:21 ET"
LK,1.42,Call,2.50,06/05/20,14,0.17,0.19,0.20,0.21,1299,427,3.04,429.26%,"12:05 ET"
JD,50.02,Put,50.00,09/18/20,119,5.80,5.9,6.00,5.90,536,177,3.03,53.58%,"12:26 ET"
UBER,34.55,Call,28.50,06/26/20,35,6.55,6.63,6.70,6.46,701,231,3.03,58.65%,"11:00 ET"
AMZN,2444.23,Call,2465.00,05/22/20,0,1.67,1.82,1.96,1.80,1757,580,3.03,0.00%,"13:26 ET"
PAGS,26.1,Put,20.00,06/19/20,28,0.40,0.48,0.55,0.50,2000,661,3.03,96.13%,"12:02 ET"
GNSS,5.05,Call,7.50,10/16/20,147,1.15,1.17,1.20,1.20,3055,1008,3.03,145.53%,"13:08 ET"
PYPL,150.15,Call,200.00,01/15/21,238,3.05,3.08,3.10,3.05,670,222,3.02,31.32%,"13:23 ET"
BA,136.33,Put,137.00,05/22/20,0,1.06,1.12,1.18,1.09,2486,825,3.01,0.00%,"13:27 ET"
SPCE,15.63,Call,15.00,05/22/20,0,0.64,0.7,0.76,0.70,5840,1941,3.01,0.00%,"13:23 ET"
